Sample	Gene	Impact	CNV
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	RNF213	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	METTL4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	MYO5B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CTDP1	MODERATE	2.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	AP3D1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SNAPC2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ANGPTL6	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CEACAM4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	STRN4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SIRPG	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SEC14L4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	TOB2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	KIAA0930	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	RTL3	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	SLITRK4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ADGRL3	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	AKR1E2	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ALG13	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ALPK2	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ANKRD44	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	AP1B1	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	APOB	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ARID1A	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ARPP21	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	ASZ1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	BRCA2	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	C1QL4	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CAB39	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CACNA1B	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CACNA1D	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CDH18	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CENPE	MODERATE	0.0
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CHD6	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CHMP1B	HIGH	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	COP1	MODERATE	
PM12_Z4_2_Case--PM12_EBC2_2_Ctrl	CP	MODERATE	
